Round		Edge-Cut		Swaps		Migrations
393		2164		386743		1502
394		2164		387591		1502
395		2164		388439		1502
396		2163		389288		1504
397		2163		390136		1504
398		2162		390983		1503
399		2162		391829		1503
400		2161		392674		1505
401		2161		393518		1505
402		2161		394362		1505
403		2161		395206		1505
404		2161		396050		1505
405		2161		396894		1505
406		2161		397738		1505
407		2161		398582		1505
408		2161		399426		1505
409		2161		400270		1505
410		2161		401114		1505
411		2161		401958		1505
412		2161		402802		1505
413		2161		403646		1505
414		2161		404490		1505
415		2161		405334		1505
416		2160		406179		1504
417		2159		407020		1505
418		2159		407860		1505
419		2159		408700		1505
420		2159		409540		1505
421		2158		410379		1505
422		2157		411216		1506
423		2157		412052		1506
424		2157		412888		1506
425		2157		413724		1506
426		2157		414560		1506
427		2157		415396		1506
428		2157		416232		1506
429		2157		417068		1506
430		2157		417904		1506
431		2156		418741		1506
432		2156		419575		1506
433		2156		420409		1506
434		2156		421243		1506
435		2156		422077		1506
436		2156		422911		1506
437		2156		423745		1506
438		2156		424579		1506
439		2156		425413		1506
440		2156		426247		1506
441		2156		427081		1506
442		2156		427915		1506
443		2155		428748		1507
444		2155		429580		1507
445		2155		430412		1507
446		2155		431244		1507
447		2155		432076		1507
448		2155		432908		1507
449		2155		433740		1507
450		2155		434572		1507
451		2155		435404		1507
452		2155		436236		1507
453		2155		437068		1507
454		2155		437900		1507
455		2155		438732		1507
456		2154		439563		1507
457		2154		440393		1507
458		2154		441223		1507
459		2154		442053		1507
460		2154		442883		1507
461		2154		443713		1507
462		2154		444543		1507
463		2153		445372		1508
464		2153		446200		1508
465		2153		447028		1508
466		2153		447856		1508
467		2153		448684		1508
468		2153		449512		1508
469		2152		450339		1508
470		2152		451165		1508
471		2152		451991		1508
472		2152		452817		1508
473		2152		453643		1508
474		2152		454469		1508
475		2152		455295		1508
476		2152		456121		1508
477		2152		456947		1508
478		2152		457773		1508
479		2152		458599		1508
480		2152		459425		1508
481		2152		460251		1508
482		2152		461077		1508
483		2152		461903		1508
484		2152		462729		1508
485		2152		463555		1508
486		2152		464381		1508
487		2152		465207		1508
488		2151		466032		1508
489		2150		466857		1507
490		2150		467679		1507
491		2150		468501		1507
492		2150		469323		1507
493		2150		470145		1507
494		2150		470967		1507
495		2150		471789		1507
496		2150		472611		1507
497		2150		473433		1507
498		2149		474254		1509
499		2149		475074		1509
500		2149		475894		1509
501		2149		476714		1509
502		2149		477534		1509
503		2149		478354		1509
504		2149		479174		1509
505		2149		479994		1509
506		2149		480814		1509
507		2149		481634		1509
508		2149		482454		1509
509		2148		483273		1509
510		2148		484091		1509
511		2148		484909		1509
512		2148		485727		1509
513		2148		486545		1509
514		2147		487364		1509
515		2147		488180		1509
516		2147		488996		1509
517		2147		489812		1509
518		2147		490628		1509
519		2147		491444		1509
520		2147		492260		1509
521		2147		493076		1509
522		2147		493892		1509
523		2147		494708		1509
524		2147		495524		1509
525		2147		496340		1509
526		2147		497156		1509
527		2147		497972		1509
528		2146		498787		1509
529		2146		499601		1509
530		2146		500415		1509
531		2146		501229		1509
532		2146		502043		1509
533		2146		502857		1509
534		2146		503671		1509
535		2146		504485		1509
536		2146		505299		1509
537		2146		506113		1509
538		2146		506927		1509
539		2146		507741		1509
540		2146		508555		1509
541		2146		509369		1509
542		2146		510183		1509
543		2146		510997		1509
544		2146		511811		1509
545		2146		512625		1509
546		2146		513439		1509
547		2146		514253		1509
548		2146		515067		1509
549		2146		515881		1509
550		2146		516695		1509
551		2146		517509		1509
552		2146		518323		1509
553		2146		519137		1509
554		2146		519951		1509
555		2146		520765		1509
556		2145		521580		1510
557		2144		522391		1508
558		2144		523201		1508
559		2143		524010		1509
560		2143		524818		1509
561		2143		525626		1509
562		2143		526434		1509
563		2143		527242		1509
564		2143		528050		1509
565		2143		528858		1509
566		2143		529666		1509
567		2142		530473		1509
568		2142		531279		1509
569		2142		532085		1509
570		2142		532891		1509
571		2142		533697		1509
572		2141		534502		1511
573		2141		535306		1511
574		2141		536110		1511
575		2141		536914		1511
576		2141		537718		1511
577		2141		538522		1511
578		2141		539326		1511
